Variable,rho_total,p_total,rho_tree,p_tree,q_BH_total,q_BH_tree,Sig_total,Sig_tree,Direction
Ca,0.943,0.0167,0.638,0.1944,0.316,0.905,*,ns,Positive
Mg,0.886,0.0333,0.493,0.3333,0.316,0.905,*,ns,Positive
K,-0.543,0.2972,-0.58,0.2333,0.751,0.905,ns,ns,Negative
Cu,0.543,0.2972,0.174,0.75,0.751,0.938,ns,ns,Positive
P,0.543,0.2972,0.174,0.75,0.751,0.938,ns,ns,Positive
Carbono,0.486,0.3556,0.551,0.2722,0.751,0.905,ns,ns,Positive
Acidez,-0.486,0.3556,-0.551,0.2722,0.751,0.905,ns,ns,Negative
Fe,-0.429,0.4194,-0.638,0.1944,0.751,0.905,ns,ns,Negative
pH,0.429,0.4194,0.232,0.6722,0.751,0.938,ns,ns,Positive
Al,0.371,0.4972,0.058,0.9333,0.751,0.983,ns,ns,Positive
Na,0.348,0.4944,0.265,0.6194,0.751,0.938,ns,ns,Positive
Mn,-0.314,0.5639,-0.29,0.6,0.751,0.938,ns,ns,Negative
Zn,0.257,0.6583,-0.29,0.6,0.751,0.938,ns,ns,Positive
CTC,0.257,0.6583,0.116,0.8389,0.751,0.938,ns,ns,Positive
N,0.257,0.6583,-0.145,0.7778,0.751,0.938,ns,ns,Positive
V,-0.257,0.6583,-0.116,0.8389,0.751,0.938,ns,ns,Negative
CN,0.232,0.6722,0.485,0.325,0.751,0.905,ns,ns,Positive
MO,-0.086,0.9194,-0.029,0.9833,0.97,0.983,ns,ns,Negative
S,0.029,1.0,-0.377,0.4722,1.0,0.938,ns,ns,Positive
