Variable,mean_0_10,mean_10_20,delta_pct,t,p_t,p_wilcoxon,q_BH
N,1.908,1.247,-34.7,4.014,0.0102,0.0312,0.0826
Carbono,7.311,4.841,-33.8,3.449,0.0183,0.0312,0.0826
MO,14.604,10.365,-29.0,3.379,0.0197,0.0625,0.0826
Ca,6.079,5.852,-3.7,3.32,0.021,0.0625,0.0826
Al,24.534,23.633,-3.7,3.173,0.0247,0.0625,0.0826
S,12.538,11.895,-5.1,3.126,0.0261,0.0625,0.0826
Mg,5.933,5.564,-6.2,2.96,0.0315,0.0625,0.0853
K,0.237,0.211,-11.0,2.849,0.0359,0.125,0.0853
pH,4.202,4.094,-2.6,1.677,0.1544,0.2188,0.326
CTC,18.695,17.478,-6.5,1.196,0.2852,0.3125,0.5419
Mn,157.276,127.962,-18.6,1.045,0.3439,0.3125,0.594
Zn,7.89,7.242,-8.2,0.777,0.4724,0.4375,0.748
Acidez,6.623,5.961,-10.0,0.676,0.5293,0.5625,0.7736
Na,0.098,0.106,7.3,-0.569,0.5939,0.9375,0.7737
V,66.512,68.699,3.3,-0.542,0.6108,0.8438,0.7737
CN,4.373,4.45,1.8,-0.256,0.8084,1.0,0.9349
P,11.029,10.673,-3.2,0.217,0.8365,0.4375,0.9349
Cu,4.46,4.427,-0.7,0.099,0.9252,0.8438,0.9766
Fe,1565.211,1563.167,-0.1,0.011,0.9915,0.4375,0.9915
