# Gene Family,P1,P2,P3,P4,P5,P6
COG0001,1.307,1.983,3.066,2.437,1.939,1.669
COG0002,2.455,1.878,2.451,3.236,2.991,2.242
COG0003,0.992,0.98,1.507,1.778,2.044,1.008
COG0004,0.19,0.0,0.233,0.083,0.0,0.315
COG0005,4.273,4.19,3.118,4.461,4.476,4.253
COG0006,2.201,2.453,3.111,4.156,3.455,2.959
COG0007,0.714,1.008,1.189,1.369,1.311,0.835
COG0008,4.535,4.22,4.397,5.451,4.814,3.562
COG0009,0.967,1.021,1.512,1.519,1.152,1.258
COG0010,1.589,1.59,2.512,1.5,1.197,1.566
COG0011,0.505,0.469,0.805,1.396,1.701,0.624
COG0012,1.944,2.023,3.206,2.9,2.359,1.959
COG0013,1.515,1.313,2.797,2.527,1.805,1.868
COG0014,0.641,0.982,1.556,1.507,1.057,0.84
COG0015,5.163,4.492,4.865,3.885,3.215,3.459
COG0016,4.28,4.234,3.787,4.419,3.607,2.8
COG0017,0.334,0.773,1.079,1.979,1.708,0.749
COG0018,1.199,1.238,2.196,2.295,1.767,1.414
COG0019,4.093,4.387,3.28,4.055,3.217,3.975
COG0020,3.152,3.315,2.489,3.805,2.81,2.78
COG0021,1.697,1.857,2.456,2.212,2.061,2.13
COG0022,10.321,10.12,13.258,9.315,7.866,7.321
COG0023,0.0,0.0,0.333,0.0,0.0,0.0
COG0024,2.381,3.801,3.214,3.919,2.873,2.571
COG0025,0.46,0.0,0.488,0.115,0.0,0.0
COG0026,0.06,0.0,0.226,0.0,0.0,0.0
COG0027,0.0,0.0,0.138,0.0,0.093,0.133
COG0028,7.336,6.086,10.077,7.249,5.448,4.906
COG0029,0.655,0.82,2.127,1.984,1.758,1.498
COG0030,0.65,0.7,0.764,1.11,0.645,0.656
COG0031,8.57,7.219,11.978,10.341,8.572,8.298
COG0033,0.441,0.0,0.797,0.933,0.985,0.655
COG0034,2.338,3.007,3.162,3.212,2.6,2.123
COG0035,1.161,1.279,0.753,1.025,0.487,0.976
COG0036,1.033,1.442,1.381,1.598,1.37,0.942
COG0037,0.322,0.557,0.386,0.77,0.914,0.39
COG0038,1.568,1.976,1.237,1.412,1.466,1.375
COG0039,7.97,6.999,7.838,7.99,5.697,6.545
COG0040,2.871,2.338,4.336,3.849,3.848,2.051
COG0041,2.95,3.29,2.6,3.241,3.061,1.792
COG0042,1.296,1.01,2.02,1.465,1.403,1.131
COG0043,1.307,0.942,2.01,2.125,2.727,1.422
COG0044,4.682,5.032,4.235,5.325,3.864,3.815
COG0045,3.805,3.888,5.693,4.581,4.413,3.482
COG0046,3.438,3.187,4.828,4.748,3.045,3.081
COG0047,3.398,3.435,3.181,3.976,3.41,3.055
COG0048,26.007,27.499,26.556,23.698,25.17,23.082
COG0049,10.957,10.983,12.904,11.911,10.42,9.251
COG0050,16.594,16.047,21.167,16.717,16.024,16.69
COG0051,28.284,31.304,24.334,27.181,24.808,26.465
COG0052,4.657,3.689,5.375,5.232,4.339,3.858
COG0053,0.256,0.19,0.403,0.463,0.37,0.327
COG0054,1.575,1.349,2.731,2.735,1.96,1.676
COG0055,8.666,8.727,8.385,9.37,8.542,8.395
COG0056,6.371,6.405,8.353,6.199,5.783,5.31
COG0057,3.727,3.239,4.543,4.41,4.096,3.204
COG0058,1.224,1.034,1.776,2.428,2.137,1.959
COG0059,4.515,4.58,5.233,4.253,3.595,4.025
COG0060,1.246,0.946,1.684,1.746,1.863,1.223
