# Gene Family,P1,P2,P3,P4,P5,P6
K00001,0.403,0.387,0.763,0.463,0.208,0.32
K00003,4.886,4.735,4.797,4.924,3.384,4.004
K00005,0.0,0.0,0.0,0.0,0.107,0.0
K00008,2.813,3.156,3.519,2.848,2.725,2.872
K00010,0.756,0.608,1.33,1.463,0.827,0.435
K00012,5.182,5.339,6.048,4.915,4.3,4.915
K00013,2.642,2.945,3.022,4.13,2.833,2.552
K00014,0.457,0.668,0.78,0.556,0.436,0.453
K00015,4.669,4.68,4.351,4.143,3.519,3.519
K00016,2.125,2.283,2.618,2.341,2.553,2.481
K00018,0.308,0.192,0.095,0.519,0.427,0.401
K00019,8.54,8.104,4.703,6.838,6.854,7.282
K00020,7.987,7.771,5.0,5.308,4.935,6.192
K00021,0.202,0.122,0.409,0.212,0.0,0.11
K00023,5.812,5.744,3.484,4.411,3.863,4.772
K00024,11.549,10.062,11.592,10.279,8.353,9.084
K00027,1.174,1.534,3.031,1.778,1.148,1.823
K00029,5.644,5.632,4.17,6.044,5.179,5.171
K00030,3.581,3.842,3.584,2.532,2.939,2.899
K00031,6.78,7.349,7.307,6.997,6.029,6.18
K00033,6.904,6.625,6.429,6.983,7.766,7.421
K00034,1.984,2.201,1.1,1.815,1.553,2.47
K00036,5.806,6.808,5.212,6.503,4.526,5.277
K00038,0.0,0.0,0.209,0.096,0.0,0.111
K00039,0.101,0.073,0.057,0.0,0.0,0.061
K00042,0.789,0.627,0.876,0.557,0.681,0.583
K00043,0.0,0.0,0.082,0.149,0.166,0.0
K00046,0.333,0.409,0.88,0.816,0.525,1.103
K00052,8.854,9.322,8.747,9.279,9.199,8.153
K00053,7.868,7.338,9.335,7.12,5.728,5.805
K00054,0.394,0.541,0.338,0.341,0.433,0.284
K00055,1.291,1.277,0.936,1.201,0.844,1.249
K00057,1.989,1.167,3.477,1.85,1.964,3.142
K00058,14.967,14.248,11.295,12.826,12.594,12.605
K00059,26.425,24.08,20.239,20.798,18.873,20.251
K00060,2.571,2.368,3.741,3.883,3.107,2.589
K00064,0.0,0.0,0.238,0.0,0.0,0.0
K00065,0.351,1.127,0.323,0.409,0.481,0.275
K00066,0.376,0.307,0.547,0.291,0.394,0.44
K00067,0.462,0.619,0.435,0.447,0.891,0.454
K00073,0.139,0.0,0.0,0.0,0.0,0.0
K00074,7.703,7.076,6.906,7.452,7.14,7.52
K00075,2.905,2.922,2.984,3.065,2.302,2.525
K00076,0.399,0.595,0.411,0.633,0.0,0.114
K00077,5.256,5.605,2.98,3.688,3.743,4.813
K00082,0.0,0.0,0.18,0.0,0.0,0.118
K00086,0.0,0.0,0.099,0.0,0.0,0.0
K00087,0.156,0.0,0.2,0.315,0.0,0.0
K00088,11.598,13.479,13.676,12.696,9.998,8.866
K00090,0.0,0.0,0.082,0.0,0.0,0.0
K00091,0.678,0.843,1.328,1.297,1.065,1.057
K00096,0.569,0.532,0.295,0.407,0.368,0.605
K00097,0.0,0.588,0.267,0.754,0.0,0.1
K00098,0.093,0.0,0.0,0.0,0.0,0.0
K00099,2.307,2.39,3.834,2.773,3.375,2.962
K00101,3.472,3.075,3.084,2.302,1.699,1.612
K00102,1.669,1.687,1.242,1.124,0.892,0.968
K00104,6.333,6.233,6.485,6.765,5.376,5.131
K00108,2.659,2.767,1.162,2.119,2.238,2.766
K00111,0.756,0.759,1.164,0.813,1.219,0.628
K00114,2.319,2.471,2.238,2.114,2.019,2.531
K00116,0.0,0.082,0.093,0.0,0.195,0.412
K00117,2.952,2.093,3.348,2.748,3.339,2.222
K00121,7.498,8.434,6.075,6.769,5.531,7.567
K00122,0.673,0.332,0.105,0.538,0.134,0.491
K00123,18.141,18.342,12.718,16.446,15.277,15.523
K00124,8.568,9.113,7.14,7.324,7.207,7.729
K00126,0.043,0.283,0.127,0.264,0.192,0.133
K00127,0.645,1.002,0.427,1.03,0.197,0.404
K00128,6.066,6.176,6.046,5.629,4.739,6.151
K00130,2.169,2.31,1.868,1.555,1.313,1.196
K00133,8.545,8.626,9.151,8.781,7.491,7.374
K00134,8.036,7.687,8.404,6.699,4.844,6.626
K00135,13.601,12.221,10.309,10.202,8.56,10.673
K00138,1.655,1.654,2.042,2.214,1.809,2.549
K00140,6.051,6.89,4.925,5.127,3.616,4.915
K00141,0.0,0.0,0.101,0.0,0.0,0.0
K00145,4.233,4.506,4.899,5.175,5.004,4.023
K00146,0.397,0.566,0.868,0.887,0.728,0.923
K00147,2.182,2.586,3.371,3.115,2.44,2.056
K00148,0.666,0.255,1.753,0.352,0.0,0.173
K00151,0.164,0.277,0.281,0.0,0.057,0.093
K00153,0.569,0.632,1.902,0.775,0.485,0.234
K00154,0.102,0.0,0.0,0.116,0.0,0.0
K00156,2.142,1.556,4.899,0.874,0.68,0.542
K00158,0.187,0.16,0.339,0.163,0.139,0.0
K00161,5.312,5.918,5.114,5.072,2.81,3.867
K00162,8.97,7.958,8.476,6.976,6.273,5.992
K00163,5.321,4.905,4.781,5.261,4.092,4.121
K00164,5.431,6.207,5.221,5.801,4.655,4.296
K00166,0.501,0.173,0.23,0.923,1.241,0.753
K00167,4.963,4.998,6.811,5.292,5.147,4.732
K00169,0.525,0.423,1.735,0.931,1.036,0.784
K00170,1.165,0.552,2.134,1.289,0.882,1.125
K00171,0.0,0.0,0.0,0.0,0.036,0.0
K00172,0.5,0.471,0.934,1.438,1.279,0.46
K00174,6.205,4.849,6.8,5.651,5.617,4.059
K00175,6.618,5.649,7.418,7.021,6.02,5.79
K00176,0.248,0.099,0.0,0.115,0.236,0.021
K00177,0.123,0.177,0.725,1.922,2.055,0.596
K00179,0.61,0.447,0.539,0.89,0.553,0.214
K00180,0.0,0.0,0.372,0.275,0.219,0.174
K00184,0.58,0.516,2.049,2.995,2.413,0.933
K00185,0.977,1.086,3.329,3.757,3.194,2.089
K00186,0.583,0.414,0.519,0.24,0.45,0.485
K00187,0.211,0.193,0.274,0.32,0.231,0.221
K00196,0.0,0.0,0.0,0.128,0.0,0.0
K00200,0.0,0.0,0.0,0.31,0.0,0.0
K00201,0.0,0.0,0.0,0.194,0.0,0.0
K00202,0.0,0.0,0.0,0.246,0.0,0.0
K00203,0.0,0.0,0.0,0.14,0.0,0.0
K00207,0.0,0.0,0.118,0.241,0.166,0.161
K00208,8.403,9.012,8.455,8.798,6.443,8.0
K00209,0.123,0.351,0.215,0.0,0.0,0.074
K00210,0.347,0.138,0.273,0.341,0.307,0.792
K00215,3.1,2.898,3.661,3.185,1.756,2.907
K00217,0.108,0.149,0.104,0.058,0.082,0.094
K00220,1.654,2.307,0.567,1.428,0.733,1.203
K00222,0.082,0.0,0.0,0.129,0.0,0.0
K00226,0.475,0.365,0.634,1.034,0.98,0.82
K00227,0.1,0.171,0.0,0.0,0.142,0.0
K00228,2.38,1.49,1.146,1.732,1.3,1.381
K00230,0.0,0.0,0.0,0.254,0.0,0.0
K00231,0.421,0.9,0.423,0.763,0.35,0.563
K00232,0.0,0.0,0.066,0.0,0.0,0.0
K00239,11.002,9.911,11.36,11.041,9.441,8.332
K00240,16.749,13.526,13.325,13.125,11.625,10.872
K00241,1.472,1.839,1.78,1.194,1.084,0.374
K00242,0.329,0.0,0.347,0.553,0.0,0.0
K00244,1.016,0.717,0.784,0.992,0.709,0.819
K00245,0.409,0.096,0.198,0.409,0.601,0.617
K00246,0.0,0.394,0.111,0.0,0.0,0.0
K00248,1.784,1.305,2.645,2.54,2.87,1.82
K00249,9.358,9.588,6.488,7.699,4.833,5.477
K00252,6.087,6.218,5.522,5.865,4.349,4.592
K00253,3.655,3.361,2.134,2.558,2.456,2.713
K00254,2.571,2.078,1.549,2.548,1.422,1.338
K00259,4.731,5.102,4.847,3.646,2.757,3.183
K00260,0.0,0.0,0.069,0.0,0.0,0.0
K00261,3.695,3.767,4.693,3.539,5.049,3.83
K00262,0.728,0.614,0.702,0.958,0.763,0.941
K00263,0.557,0.629,0.351,0.2,0.425,0.427
K00265,6.01,6.259,6.675,6.753,5.07,5.148
K00266,5.62,4.537,6.429,5.886,4.139,4.071
K00271,0.282,0.107,0.395,0.114,0.0,0.165
K00274,0.0,0.2,0.084,0.104,0.0,0.0
K00275,0.983,1.569,0.706,1.272,0.643,1.296
K00276,1.069,0.723,0.25,0.56,0.544,0.569
K00278,2.066,2.009,3.746,3.645,3.148,2.878
K00281,1.315,1.116,1.173,1.635,1.117,1.653
K00282,2.063,1.559,3.069,2.256,3.278,1.624
K00283,3.193,3.499,5.375,4.024,4.25,3.293
K00284,0.236,0.249,0.326,0.26,0.288,0.371
K00285,0.765,1.047,0.605,0.481,0.327,0.861
K00286,1.508,0.931,0.54,1.513,1.038,0.679
K00287,0.0,0.0,0.073,0.0,0.0,0.168
K00290,0.0,0.0,0.149,0.096,0.122,0.0
K00294,0.744,1.346,1.805,0.808,0.99,0.957
K00297,5.445,4.501,3.942,4.162,4.705,4.749
K00299,0.0,0.098,0.0,0.0,0.264,0.0
K00302,1.197,1.001,0.824,0.541,0.367,0.429
K00303,1.567,1.721,2.322,2.331,1.782,1.756
K00304,0.135,0.294,0.055,0.242,0.198,0.077
K00311,4.204,3.52,3.694,3.84,2.308,2.695
K00313,0.0,0.0,0.827,0.42,0.441,0.397
K00315,0.0,0.205,0.0,0.126,0.0,0.0
K00316,0.771,0.738,0.638,0.596,0.665,0.0
K00317,0.0,0.0,0.0,0.0,0.0,0.123
K00318,0.157,0.084,0.112,0.175,0.0,0.0
K00320,0.563,0.562,1.514,1.81,1.496,1.103
K00322,2.174,2.374,1.106,1.977,1.427,1.807
K00324,8.041,6.782,5.817,6.98,5.334,5.233
K00325,3.719,3.944,4.473,4.226,3.701,3.388
K00329,0.204,0.0,0.134,0.143,0.0,0.079
K00330,8.292,7.211,8.553,8.595,7.68,7.161
K00331,18.855,19.665,20.035,19.941,18.453,17.089
K00332,3.166,3.72,4.162,4.31,3.998,3.352
K00333,19.035,19.605,16.421,17.239,18.043,19.188
K00334,3.055,3.603,4.315,3.975,3.445,3.398
K00335,11.181,11.956,10.916,12.618,9.847,11.234
K00336,3.952,3.43,3.18,4.074,3.539,3.058
K00337,7.964,7.456,8.639,8.763,6.784,6.151
K00338,10.076,10.695,9.015,10.258,9.786,8.579
K00339,3.35,2.021,2.232,2.847,2.663,1.81
K00340,10.57,11.193,13.218,11.641,8.274,11.384
K00341,2.898,2.422,4.447,4.625,4.443,2.945
K00342,5.815,6.172,6.191,6.918,7.096,6.201
K00343,2.097,1.878,3.435,4.279,3.141,2.142
K00344,6.705,7.178,6.05,5.904,5.468,6.732
K00355,0.0,0.0,0.075,0.0,0.0,0.0
K00356,0.204,0.0,0.134,0.143,0.0,0.079
K00362,1.268,1.264,1.394,1.568,0.827,0.952
K00363,1.153,1.66,2.193,1.388,1.022,1.574
K00364,0.141,0.089,0.302,0.243,0.196,0.617
K00365,0.602,0.682,0.685,0.415,0.204,0.242
K00366,0.0,0.177,0.0,0.0,0.0,0.0
K00368,1.018,1.136,0.18,0.675,1.178,0.553
K00370,3.239,3.705,3.165,3.644,2.338,2.248
K00371,4.912,5.824,3.004,3.675,3.123,4.231
K00372,2.432,3.111,2.131,2.897,3.33,2.903
K00373,1.07,0.887,0.335,0.339,0.415,0.695
K00374,3.181,3.35,1.513,2.622,1.79,3.205
K00376,0.191,0.236,0.0,0.229,0.138,0.0
K00380,1.799,1.947,0.549,1.641,1.142,1.662
K00381,6.139,5.347,4.591,5.64,5.997,5.486
K00382,12.599,11.549,11.003,10.009,7.98,9.452
K00383,1.274,1.426,1.074,1.109,0.694,0.748
K00384,10.348,9.863,9.975,10.583,8.573,8.552
K00389,0.101,0.0,0.148,0.0,0.0,0.11
K00390,1.948,2.269,3.386,2.778,2.609,1.932
K00392,0.333,0.329,0.799,0.568,0.0,0.0
K00394,0.147,0.238,0.296,0.412,0.179,0.157
K00395,0.159,0.162,0.163,0.283,0.092,0.0
K00399,0.0,0.0,0.0,0.129,0.0,0.0
K00402,0.0,0.0,0.088,0.0,0.0,0.0
K00404,3.678,3.279,3.946,5.221,4.157,3.732
K00405,1.26,1.378,1.129,1.741,1.233,0.857
K00406,0.622,0.399,0.308,0.093,0.496,0.069
K00407,0.149,0.0,0.43,0.16,0.0,0.053
K00410,0.419,0.56,0.229,0.296,0.332,0.397
K00411,1.414,1.02,0.545,1.755,0.521,1.045
K00412,1.259,1.418,1.316,1.312,1.763,1.549
K00425,0.653,0.588,1.352,0.786,0.273,0.21
K00426,0.545,1.046,0.653,1.602,0.867,1.121
K00428,0.439,0.418,0.445,0.848,0.374,0.348
K00432,1.789,0.726,1.563,1.217,1.211,1.104
K00433,1.497,1.143,1.841,2.107,2.934,2.51
K00435,0.0,0.0,0.202,0.2,0.0,0.0
K00436,0.719,0.525,0.721,0.286,0.411,0.771
K00437,0.0,0.0,0.127,0.0,0.17,0.0
K00440,0.0,0.0,0.0,0.102,0.0,0.0
K00441,0.5,0.335,0.74,0.323,0.375,0.212
K00442,0.0,0.0,0.0,0.079,0.0,0.0
K00446,2.678,2.318,1.385,1.894,1.251,1.75
K00448,0.0,0.0,0.191,0.154,0.091,0.0
K00449,2.206,2.625,1.808,1.29,1.478,1.719
K00450,3.569,3.369,1.734,3.292,2.298,2.376
K00451,5.479,4.508,6.593,5.859,5.084,5.261
K00452,0.732,1.457,1.016,0.868,0.817,0.785
K00453,0.88,0.315,1.082,0.696,0.866,1.123
K00455,0.064,0.083,0.0,0.0,0.0,0.354
K00457,4.256,5.079,5.537,5.534,5.313,5.641
K00459,1.641,2.384,1.511,1.948,1.736,1.667
K00463,0.216,0.477,0.525,0.451,0.306,0.327
K00466,0.241,0.14,0.185,0.129,0.075,0.12
K00467,0.0,0.0,0.231,0.0,0.23,0.0
K00469,1.259,0.854,1.512,0.795,0.529,1.211
K00472,0.0,0.0,0.108,0.0,0.0,0.0
K00479,0.727,0.486,0.553,1.093,1.202,0.687
K00480,1.283,1.589,0.764,0.969,1.005,0.982
K00481,0.468,0.355,0.571,0.154,0.646,0.284
K00483,13.058,13.059,7.54,11.671,11.121,12.816
K00484,0.0,0.0,0.062,0.0,0.0,0.0
K00486,0.094,0.114,0.0,0.131,0.0,0.22
K00491,0.0,0.0,0.077,0.0,0.104,0.112
K00496,0.347,0.532,0.645,0.37,0.0,0.176
K00499,0.214,0.0,0.193,0.0,0.167,0.09
K00500,2.141,2.14,3.372,3.239,3.629,3.267
K00505,0.213,0.155,0.111,0.0,0.0,0.172
K00507,1.56,2.0,2.375,1.698,1.523,1.406
K00508,0.0,0.0,0.161,0.096,0.0,0.0
K00518,1.08,1.392,0.88,0.761,0.684,0.621
K00523,0.0,0.0,0.0,0.0,0.0,0.08
K00525,6.736,7.085,9.062,8.847,6.945,6.195
K00526,0.947,0.673,1.2,0.768,0.158,0.364
K00528,1.33,0.713,2.062,1.446,1.157,0.574
K00529,0.341,0.0,0.253,0.0,0.0,0.199
K00537,0.245,0.208,0.0,0.56,0.521,0.305
K00540,0.549,0.55,0.281,1.037,0.507,0.542
K00547,0.938,0.866,0.736,0.675,0.889,0.663
K00548,5.069,5.43,5.448,5.061,5.531,4.01
K00549,42.078,44.386,21.091,32.838,26.609,32.095
K00554,3.708,3.481,3.516,3.292,3.75,3.387
K00556,0.0,0.182,0.705,1.1,0.75,0.175
K00558,0.157,0.315,0.776,0.0,0.301,0.414
K00560,2.964,3.898,2.387,3.264,2.662,3.093
K00561,0.11,0.312,0.185,0.551,0.0,0.0
K00566,2.811,3.676,3.584,3.952,2.096,2.604
K00567,1.188,0.774,0.834,0.519,0.457,0.802
K00568,2.144,2.227,1.451,2.679,1.498,2.033
K00569,0.0,0.0,0.0,0.0,0.164,0.193
K00570,4.681,4.435,1.287,1.974,1.027,1.543
K00571,0.892,1.203,2.428,2.028,1.995,0.911
K00573,2.453,0.724,1.58,2.211,1.02,1.696
K00574,2.446,2.07,1.89,1.623,1.154,1.078
K00575,0.433,0.735,0.7,1.314,0.966,0.554
K00578,0.0,0.0,0.0,0.0,0.134,0.0
K00580,0.0,0.0,0.0,0.067,0.0,0.0
K00581,0.0,0.0,0.074,0.0,0.0,0.0
K00584,0.0,0.0,0.07,0.0,0.0,0.0
K00588,0.203,0.215,0.198,0.378,0.251,0.12
K00594,0.0,0.0,0.058,0.0,0.0,0.0
K00595,1.244,0.665,1.335,1.186,1.059,1.284
K00596,1.047,1.023,0.65,0.594,0.588,0.478
K00598,0.0,0.0,0.125,0.212,0.0,0.0
K00600,8.951,9.342,11.682,8.259,6.69,7.464
K00602,6.343,5.843,6.667,7.64,7.21,6.023
K00604,7.149,6.31,3.868,4.639,3.762,3.225
K00605,1.594,0.725,2.281,2.524,1.816,1.518
K00606,10.293,12.189,8.559,8.822,7.295,11.082
K00609,10.928,10.94,11.811,11.998,10.798,12.338
K00610,0.059,0.0,0.33,0.081,0.0,0.0
K00611,2.983,4.201,3.569,4.98,3.5,2.86
K00612,3.363,3.374,2.66,3.567,3.732,3.114
K00613,0.0,0.0,0.204,0.251,0.0,0.0
K00615,6.138,6.142,7.472,6.164,4.396,5.908
K00616,4.047,5.017,5.339,6.137,7.397,5.307
K00619,0.715,0.488,1.664,0.565,1.112,0.676
K00620,4.537,5.064,3.703,6.063,5.245,4.432
K00625,3.5,2.841,2.868,3.178,2.382,2.779
K00626,23.78,23.239,23.602,21.985,16.825,17.731
K00627,4.382,4.146,2.783,3.1,2.85,2.258
K00631,0.155,0.219,0.302,0.0,0.0,0.14
K00632,4.388,2.834,5.08,4.993,5.154,3.174
K00634,0.11,0.0,0.0,0.0,0.0,0.0
K00635,0.184,0.146,0.406,0.093,0.0,0.093
K00639,2.903,3.492,4.007,4.12,4.115,3.572
K00640,4.971,5.469,5.487,6.272,4.224,4.639
K00641,6.457,5.546,4.815,5.889,5.385,4.755
K00643,4.693,4.58,2.539,4.006,2.828,4.035
K00645,2.999,3.085,2.974,3.946,3.591,3.36
K00647,2.877,2.948,1.603,2.043,1.526,2.573
K00648,5.767,6.006,5.761,6.568,6.073,4.88
K00652,1.45,1.425,1.574,1.878,1.691,1.35
K00655,0.22,0.587,0.656,0.597,0.659,0.396
K00656,4.525,4.571,2.17,3.722,2.746,3.135
K00657,0.0,0.0,0.0,0.083,0.0,0.0
K00658,4.316,4.19,3.961,3.922,3.868,3.583
K00661,0.482,0.675,0.928,0.415,0.831,0.641
K00662,0.215,0.205,0.052,0.0,0.0,0.0
K00663,0.142,0.151,0.096,0.0,0.0,0.0
K00666,10.3,10.46,8.362,9.116,7.938,7.865
K00672,0.614,0.552,0.658,0.999,0.77,0.781
K00673,0.139,0.0,0.238,0.321,0.519,0.154
K00674,3.681,2.369,2.906,3.525,1.833,2.348
K00675,0.419,0.332,0.0,0.322,0.316,0.43
K00677,1.075,0.861,0.84,1.25,1.238,0.771
K00681,9.444,9.402,6.525,7.06,7.623,8.244
