ID,CPM,Sample,Rank
COG0745,37.236,P1,1
COG0051,28.284,P1,2
ENOG4108Z10,27.575,P1,3
COG3293,26.235,P1,4
COG0048,26.007,P1,5
ENOG4108UKE,25.349,P1,6
COG0361,24.993,P1,7
COG2197,24.89,P1,8
ENOG4105K9U,24.487,P1,9
COG1131,24.366,P1,10
COG0745,37.284,P2,1
COG0051,31.304,P2,2
ENOG4108Z10,30.611,P2,3
COG0048,27.499,P2,4
ENOG4108UKE,26.914,P2,5
COG1960,24.838,P2,6
COG0361,24.749,P2,7
ENOG4105K9U,24.353,P2,8
COG1131,24.057,P2,9
ENOG4108UHH,22.557,P2,10
COG0745,35.765,P3,1
COG2197,35.734,P3,2
COG1960,33.627,P3,3
COG0361,27.401,P3,4
ENOG4105K9U,26.935,P3,5
ENOG4105C1G,26.684,P3,6
COG0048,26.556,P3,7
COG1131,26.431,P3,8
ENOG4108UKE,25.797,P3,9
COG1595,24.579,P3,10
COG0745,32.835,P4,1
COG2197,29.159,P4,2
COG0051,27.181,P4,3
COG2204,26.267,P4,4
ENOG4108Z10,26.206,P4,5
COG1960,25.572,P4,6
COG1131,25.403,P4,7
COG0361,24.177,P4,8
ENOG4105K9U,23.805,P4,9
COG0048,23.698,P4,10
COG0745,29.401,P5,1
COG3335,29.021,P5,2
COG3293,28.633,P5,3
COG2197,25.439,P5,4
COG0048,25.17,P5,5
ENOG4105IDF,25.076,P5,6
COG0051,24.808,P5,7
ENOG4108Z10,24.3,P5,8
ENOG4108UKE,24.244,P5,9
COG0604,24.019,P5,10
COG3335,39.101,P6,1
COG3293,32.277,P6,2
COG0745,32.19,P6,3
ENOG4105IDF,27.834,P6,4
COG0051,26.465,P6,5
ENOG4108Z10,25.639,P6,6
COG0604,24.221,P6,7
COG0048,23.082,P6,8
COG2197,22.404,P6,9
ENOG4108UKE,22.404,P6,10
