ID,CPM,Sample,Rank
K01999,61.417,P1,1
K02050,57.521,P1,2
K01997,51.779,P1,3
K01990,51.157,P1,4
K03088,50.655,P1,5
K02049,43.836,P1,6
K00549,42.078,P1,7
K01996,36.015,P1,8
K03704,35.313,P1,9
K02950,33.253,P1,10
K02050,60.59,P2,1
K01999,59.593,P2,2
K01997,50.432,P2,3
K01990,50.085,P2,4
K03088,49.195,P2,5
K00549,44.386,P2,6
K02049,41.055,P2,7
K03704,37.792,P2,8
K02946,36.143,P2,9
K02950,35.873,P2,10
K01990,59.242,P3,1
K03088,51.457,P3,2
K01999,37.427,P3,3
K03704,36.06,P3,4
K02050,35.51,P3,5
K02950,32.813,P3,6
K03924,32.169,P3,7
K01997,31.743,P3,8
K02518,29.907,P3,9
K02948,29.852,P3,10
K01990,56.149,P4,1
K02050,55.324,P4,2
K01999,54.052,P4,3
K03088,49.24,P4,4
K01997,43.33,P4,5
K02049,42.857,P4,6
K03704,35.31,P4,7
K00549,32.838,P4,8
K01996,31.152,P4,9
K02950,30.238,P4,10
K02050,54.487,P5,1
K01999,51.646,P5,2
K01990,50.102,P5,3
K03088,49.528,P5,4
K01997,39.063,P5,5
K02049,38.058,P5,6
K01996,31.596,P5,7
K02950,30.97,P5,8
K03704,30.529,P5,9
K02051,29.755,P5,10
K02050,63.604,P6,1
K01999,57.601,P6,2
K01990,50.094,P6,3
K03088,46.857,P6,4
K01997,44.138,P6,5
K02049,42.252,P6,6
K03704,33.993,P6,7
K01996,32.494,P6,8
K00549,32.095,P6,9
K02051,30.704,P6,10
