Variável,Profundidade,rho,p_exato,sig,Métrica
Ca,0–10 cm,0.943,0.0083,**,Produção total (kg yr⁻¹)
Ca,10–20 cm,0.771,0.0514,ns,Produção total (kg yr⁻¹)
Ca,0–20 cm (mean),0.943,0.0083,**,Produção total (kg yr⁻¹)
Mg,0–10 cm,0.886,0.0167,*,Produção total (kg yr⁻¹)
Mg,10–20 cm,0.486,0.1778,ns,Produção total (kg yr⁻¹)
Mg,0–20 cm (mean),0.886,0.0167,*,Produção total (kg yr⁻¹)
Ca,0–10 cm,0.638,0.0972,ns,Produtividade por árvore (kg árvore⁻¹)
Ca,10–20 cm,0.29,0.3,ns,Produtividade por árvore (kg árvore⁻¹)
Ca,0–20 cm (mean),0.638,0.0972,ns,Produtividade por árvore (kg árvore⁻¹)
Mg,0–10 cm,0.493,0.1667,ns,Produtividade por árvore (kg árvore⁻¹)
Mg,10–20 cm,-0.058,0.5667,ns,Produtividade por árvore (kg árvore⁻¹)
Mg,0–20 cm (mean),0.493,0.1667,ns,Produtividade por árvore (kg árvore⁻¹)
