Variável,ρ,p (exato),Sig.,Direção
Ca,0.943,0.0083,**,Positiva
Mg,0.886,0.0167,*,Positiva
K,-0.543,0.8792,ns,Negativa
Cu,0.543,0.1486,ns,Positiva
P,0.543,0.1486,ns,Positiva
Carbono,0.486,0.1778,ns,Positiva
Acidez,-0.486,0.8514,ns,Negativa
Fe,-0.429,0.8222,ns,Negativa
pH,0.429,0.2097,ns,Positiva
Al,0.371,0.2486,ns,Positiva
Na,0.348,0.2472,ns,Positiva
Mn,-0.314,0.7514,ns,Negativa
Zn,0.257,0.3292,ns,Positiva
CTC,0.257,0.3292,ns,Positiva
N,0.257,0.3292,ns,Positiva
V,-0.257,0.7181,ns,Negativa
CN,0.232,0.3361,ns,Positiva
MO,-0.086,0.5986,ns,Negativa
S,0.029,0.5,ns,Positiva
